epoch,binary_accuracy,dice_coef,iou_cal,loss,precision_4,recall_4,val_binary_accuracy,val_dice_coef,val_iou_cal,val_loss,val_precision_4,val_recall_4
0,0.8297978639602661,0.48293498158454895,0.34149396419525146,0.37369784712791443,0.8610350489616394,0.36200377345085144,0.9264821410179138,0.7734590768814087,0.6313198208808899,0.2008950412273407,0.8115745186805725,0.9131990075111389
1,0.9497963190078735,0.8456361889839172,0.7344878911972046,0.1303175389766693,0.9189252257347107,0.8714690208435059,0.9589266777038574,0.8650273680686951,0.7626523971557617,0.11364614963531494,0.9010406136512756,0.9358330965042114
2,0.9649110436439514,0.8925549983978271,0.8067921996116638,0.09101277589797974,0.9402067065238953,0.9145908951759338,0.969799816608429,0.9055252075195312,0.8277060985565186,0.07841993123292923,0.9218345284461975,0.958523690700531
3,0.9707810282707214,0.9109939932823181,0.8371692895889282,0.07512286305427551,0.9484332203865051,0.9310677647590637,0.9769324660301208,0.9258366823196411,0.8621935248374939,0.06021697446703911,0.9478943943977356,0.9589529037475586
4,0.9753161072731018,0.9250253438949585,0.8609432578086853,0.06307375431060791,0.9558098316192627,0.9425797462463379,0.9798185229301453,0.9380716681480408,0.8836057186126709,0.051944486796855927,0.9550475478172302,0.9633116126060486
5,0.9779003858566284,0.9330547451972961,0.8748877048492432,0.05613870918750763,0.9601385593414307,0.9489718079566956,0.9821378588676453,0.9469883441925049,0.8995275497436523,0.04551536589860916,0.9562957882881165,0.9718109369277954
6,0.9801833033561707,0.940067708492279,0.887222409248352,0.04995352402329445,0.9643550515174866,0.954186201095581,0.9813834428787231,0.9476190209388733,0.900666356086731,0.04652654752135277,0.9498490691184998,0.9758565425872803
7,0.9814059138298035,0.9437008500099182,0.8936998844146729,0.04699230194091797,0.9662907123565674,0.9573139548301697,0.9853984713554382,0.958399772644043,0.9203070402145386,0.03746899589896202,0.9676063656806946,0.9732322096824646
8,0.9827128052711487,0.9479981660842896,0.9013780355453491,0.043050650507211685,0.9688142538070679,0.960173487663269,0.9859169721603394,0.9593465328216553,0.9220529198646545,0.035465311259031296,0.9669768810272217,0.9760923981666565
9,0.9835835695266724,0.9508023858070374,0.9064207673072815,0.04055704176425934,0.970148503780365,0.9624453783035278,0.9859657287597656,0.9612811207771301,0.9256454110145569,0.03598535433411598,0.9632900953292847,0.9803153872489929
10,0.9840207099914551,0.9520841240882874,0.9087648391723633,0.03957177698612213,0.9710921049118042,0.9632912874221802,0.9863442182540894,0.9608993530273438,0.9249432682991028,0.034464213997125626,0.9654582142829895,0.9795407056808472
11,0.9847663044929504,0.9541438817977905,0.9125145077705383,0.03787168487906456,0.9723528027534485,0.965108335018158,0.987352192401886,0.9643136262893677,0.9312654137611389,0.0323016457259655,0.9702460169792175,0.97860187292099
12,0.9839276671409607,0.9518052935600281,0.9083811640739441,0.040129076689481735,0.9711604714393616,0.9628286361694336,0.9871336817741394,0.9629358649253845,0.9287080764770508,0.03248610720038414,0.9680010676383972,0.9801030158996582
13,0.9856141805648804,0.9568496346473694,0.9174624681472778,0.035448092967271805,0.9736695885658264,0.9672946333885193,0.9875522255897522,0.9648529887199402,0.9322531819343567,0.031492482870817184,0.9679499864578247,0.9819170236587524
14,0.986096978187561,0.9584608674049377,0.9203924536705017,0.03391439840197563,0.9743223786354065,0.968639612197876,0.9883905053138733,0.9667923450469971,0.9358627796173096,0.029575763270258904,0.9765828847885132,0.9762194752693176
15,0.9868442416191101,0.9607568383216858,0.9246131777763367,0.03220096975564957,0.9760668277740479,0.9699549674987793,0.988603413105011,0.9677048921585083,0.9375851154327393,0.0293725673109293,0.9725086688995361,0.9814207553863525
16,0.9872980117797852,0.9623042941093445,0.9274538159370422,0.030639147385954857,0.9762269854545593,0.9716885685920715,0.988416850566864,0.9679737091064453,0.9381224513053894,0.029574889689683914,0.9721449613571167,0.9810285568237305
17,0.9877080321311951,0.9635048508644104,0.9296822547912598,0.02961885742843151,0.9770899415016174,0.9725061058998108,0.9881337881088257,0.9654371738433838,0.9333839416503906,0.0299273282289505,0.9685624241828918,0.9836959838867188
18,0.9875956177711487,0.9630757570266724,0.9289025664329529,0.02999410778284073,0.9769484996795654,0.9721840620040894,0.9893617033958435,0.9698815941810608,0.9416916966438293,0.02788151055574417,0.9780813455581665,0.9786924719810486
19,0.9880024790763855,0.964428722858429,0.9314004778862,0.028960537165403366,0.977801501750946,0.9729984998703003,0.9885571002960205,0.9685717821121216,0.9392371773719788,0.0292044784873724,0.9707383513450623,0.9831240773200989
